ROW_NUMBER,MISSION_NUMBER,OP_ORDER,UNIT,MISSION_DATE,AIRCRAFT_TYPE_MDS,NBR_ATTACK_EFFEC_AIRCRAFT,SORTIE_DUPE,NBR_ABORT_AIRCRAFT,NBR_LOST_AIRCRAFT,TARGET_NAME,TGT_TYPE,SOURCE_UTM_JAPAN_B,SOURCE_TGT_UTM,TGT_MGRS,TGT_LATITUDE_WGS84,TGT_LONGITUDE_WGS84,SOURCE_TGT_LAT,SOURCE_TGT_LONG,NBR_OF_WEAPONS,WEAPONS_TYPE,BOMB_SIGHTING_METHOD,TOTAL_BOMBLOAD_IN_LBS,TOT,MISSION_TYPE,ALTITUDE_FT,CALLSIGN,BDA,NOSE_FUZE,TAIL_FUZE,CALCULATED_BOMBLOAD_LBS,RECORD_SOURCE
"
27",433,174-51,91st Strategic Recon Sq,6/1/51,,,1,,,"""BCP-27-5-2, BCP-27-5-3, BCP-27-5-4, BCP-27-5-10, BCP-27-5-11, BCP-27-5-35, BCP-27-5-36, BCP-27-5-37, BCP-27-5-38, BCP-27-5-39, BCP-27-5-40""",,,,,,,,,,,,,,,,,Moderate haze prevailed over all Korea. 16 Mig-15's sighted at Pakcon YE1302 flyin in Northwesternly direction at 40000 ft.,,,,EXETER
"
28",434,175-51,19th Bomb Group,6/2/51,B-29,3,,,,,Railroad by-pass bridge,,XD 7297,51SXD7297,39.70554N, 125.00633E,,,36,1000 GP,Visual,,,Interdiction,16000 - 16500,,Excellent results. Bomb patteren covered the bridge.,0.1,Non-delay,36000,EXETER
"
29",434,175-51,19th Bomb Group,6/2/51,B-29,3,,,,,Railroad by-pass bridge,,XD 7297,51SXD7297,39.70554N, 125.00633E,,,36,1000 GP,Visual,,,Interdiction,16000 - 16500,,Excellent results. Bomb patteren covered the bridge.,0.1,Non-delay,36000,EXETER
"
30",434,175-51,19th Bomb Group,6/2/51,B-29,1,,,,Yonghung,Railroad bridge,,CU 5078,52SCJ5078,39.53857N, 127.25447E,,,4,2000 GP,Visual,,,Interdiction,10000,,Excellent results. Direct hits were scored on the bridge.,0.1,Non-delay,8000,EXETER
"
31",434,175-51,19th Bomb Group,6/2/51,B-29,1,1,,,Yonghung,Marshalling yards,,CU 4977,52SCJ4977,39.52939N, 127.24307E,,,4,2000 GP,Visual,,,Interdiction,10000,,Direct hits scored.,0.1,Non-delay,8000,EXETER
"
32",434,175-51,19th Bomb Group,6/2/51,B-29,3,,,,,Railroad Bridge,,BA 8811,52SBL8811,40.72265N, 126.48985E,,,24,2000 GP,Visual,,,Interdiction,15000 - 15500,,Excellent results. Bomb patteren covered the bridge.,0.1,Non-delay,48000,EXETER
"
33",434,175-51,19th Bomb Group,6/2/51,B-29,3,,,,,Railroad Bridge,,BA 8811,52SBL8811,40.72265N, 126.48985E,,,24,2000 GP,Visual,,,Interdiction,15000 - 15500,,Poor results. Bomb pattern 600 to 900 feet over. The course was good but the rate was off.,0.1,Non-delay,48000,EXETER
"
34",434,175-51,19th Bomb Group,6/2/51,B-29,5,1,,,,Jettisoned,,,,,,2650N,12740E,2,500 GP,,,,,,,,VT delay arming action,,1000,EXETER
"
35",434,175-51,19th Bomb Group,6/2/51,B-29,5,1,,,,Troop Concentrations,,BT 9110,52SBH9110,38.01361N, 126.61924E,,,3,500 GP,Visual,,,Interdiction,18000,,,VT delay arming action,,1500,EXETER
"
36",434,175-51,19th Bomb Group,6/2/51,B-29,5,1,,,,Troop Concentrations,,BT 9718,52SBH9718,38.08702N, 126.68527E,,,10,500 GP,Visual,,,Interdiction,18000,,,VT delay arming action,,5000,EXETER
"
37",434,175-51,19th Bomb Group,6/2/51,B-29,5,1,,,,Troop Concentrations,,CT 8726,52SCH8726,38.17484N, 127.70990E,,,10,500 GP,Visual,,,Interdiction,18000,,,VT delay arming action,,5000,EXETER
"
39",434,175-51,19th Bomb Group,6/2/51,B-29,5,1,,,,Troop Concentrations,,CT 0317,52SCH0317,38.07934N, 126.75391E,,,16,500 GP,Visual,,,Interdiction,18000,,,VT delay arming action,,8000,EXETER
"
40",434,175-51,19th Bomb Group,6/2/51,B-29,5,1,,,,Troop Concentrations,,CT 8927,52SCH8927,38.18409N, 127.73257E,,,20,500 GP,Visual,,,Interdiction,18000,,,VT delay arming action,,10000,EXETER
"
41",434,175-51,19th Bomb Group,6/2/51,B-29,5,1,,,,Troop Concentrations,,CT6732,52SCH6732,38.22616N, 127.48051E,,,20,500 GP,Visual,,,Interdiction,18000,,,VT delay arming action,,10000,EXETER
"
42",434,175-51,19th Bomb Group,6/2/51,B-29,5,1,,,,Troop Concentrations,,CT 8722,52SCH8722,38.13879N, 127.71054E,,,20,500 GP,Visual,,,Interdiction,18000,,,VT delay arming action,,10000,EXETER
"
43",434,175-51,19th Bomb Group,6/2/51,B-29,5,1,,,,Troop Concentrations,,CT 7237,52SCH7237,38.27193N, 127.53671E,,,20,500 GP,Visual,,,Interdiction,18000,,,VT delay arming action,,10000,EXETER
"
44",434,175-51,19th Bomb Group,6/2/51,B-29,5,1,,,,Troop Concentrations,,CT 8329,52SCH8329,38.20136N, 127.66375E,,,30,500 GP,Visual,,,Interdiction,18000,,,VT delay arming action,,15000,EXETER
"
45",434,175-51,19th Bomb Group,6/2/51,B-29,5,,,,,Troop Concentrations,,CT 8727,52SCH8727,38.18385N, 127.70974E,,,38,500 GP,Visual,,,Interdiction,18000,,Excellent results,VT delay arming action,,19000,EXETER
"
46",434,175-51,91st Strategic Recon Sq,6/2/51,,2,,1,,BCA-1-6-1,Railroad bridge,,XD 7794,51SXD7794,39.67750N, 125.06382E,,,,,,,,Recon,24000,,"""Photographic coverage of mapping lines 64, 66, 69, 70, 72, and 68 from 127-06E to east end.""",,,,EXETER
"
47",434,175-51,91st Strategic Recon Sq,6/2/51,,1,1,,,BCA-1-6-2,Railroad bridge,,BA 9419,52SBL9419,40.79618N, 126.55820E,,,,,,,,Recon,,,,,,,EXETER
"
48",434,175-51,91st Strategic Recon Sq,6/2/51,,1,1,,,BCA-1-6-3,Railroad bridge,,YD 1993,51SYD1993,39.65877N, 125.55279E,,,,,,,,Recon,,,,,,,EXETER
"
49",435,176-51,98th Bomb Wing,6/3/51,B-29,1,,,,,Railroad bridge,,YC 5360,51SYC5360,38.45245N, 125.89926E,,,2,2000 GP,Shoran radar,,,Interdiction,16900,,"""Aircraft experienced a """"Shoran radar"""" equipment malfunction and proceeded to a secondary target. Weather in target area was 8/10 undercast.""",0.1,Non-delay,4000,EXETER
"
50",435,176-51,307th Bomb Wing,6/3/51,B-29,1,1,,,,Jettisoned,,,,,,3905N,12625E,4,2000 GP,,,,,,,,0.1,Non-delay,8000,EXETER
"
51",435,176-51,98th Bomb Wing,6/3/51,B-29,1,1,,,Sariwon,Marshalling yards,,YC 3965,51SYC3965,38.50132N, 125.74071E,,,6,2000 GP,Radar,,,Interdiction,16900,,Weather in target area was 8/10 undercast.,0.1,Non-delay,12000,EXETER
"
52",435,176-51,307th Bomb Wing,6/3/51,B-29,1,1,,,,Jettisoned,,,,,,2910N,12800E,8,2000 GP,,,,,,,,0.1,Non-delay,16000,EXETER
"
53",435,176-51,307th Bomb Wing,6/3/51,B-29,6,,1,,Hamhung,Railroad bridge,,CV 7711,52SCK7711,39.84011N, 127.56241E,,,40,2000 GP,Visual,,,Interdiction,18000-18500,,Poor results. Bombs fell to the left of the bridge and no spans were observed to be down.,0.1,Non-delay,80000,EXETER
"
54",435,175-51,307th Bomb Wing,6/3/51,B-29,7,,,,Yonghung,Railroad bridge,,CU 5079,52SCJ5079,39.54758N, 127.25425E,,,52,2000 GP,Visual,,,Interdiction,19000-19500,,1st flight - bomb pattern missed bridge; 2nd flight - bomb pattern covered west end of the bridge but no spans were observed to be down.,0.1,Non-delay,104000,EXETER
"
55",435,175-51,307th Bomb Wing,6/3/51,B-29,5,,,,,Troop Concentrations,,CT 0719,52SCH0719,38.09821N, 126.79895E,,,10,500 GP,Visual,,,Interdiction,18000,,,VT delay arming action,Non-delay,5000,EXETER
"
56",435,176-51,307th Bomb Wing,6/3/51,B-29,5,1,,,,Troop Concentrations,,CT 1620,52SCH1620,38.10910N, 126.90126E,,,10,500 GP,Visual,,,Interdiction,18000,,,VT delay arming action,Non-delay,5000,EXETER
"
57",435,176-51,307th Bomb Wing,6/3/51,B-29,5,1,,,,Troop Concentrations,,CT 2930,52SCH2930,38.20173N, 127.04706E,,,10,500 GP,Visual,,,Interdiction,18000,,,VT delay arming action,Non-delay,5000,EXETER
"
58",435,175-51,307th Bomb Wing,6/3/51,B-29,5,1,,,,Troop Concentrations,,CT 2130,52SCH2130,38.20017N, 126.95575E,,,10,500 GP,Visual,,,Interdiction,18000,,,VT delay arming action,Non-delay,5000,EXETER
"
59",435,175-51,307th Bomb Wing,6/3/51,B-29,5,1,,,,Troop Concentrations,,CT 3751,52SCH3751,38.39237N, 127.13354E,,,10,500 GP,Visual,,,Interdiction,18000,,,VT delay arming action,Non-delay,5000,EXETER
"
60",435,176-51,307th Bomb Wing,6/3/51,B-29,5,1,,,,Troop Concentrations,,CT 1731,52SCH1731,38.20837N, 126.90984E,,,20,500 GP,Visual,,,Interdiction,18000,,,VT delay arming action,Non-delay,10000,EXETER
"
61",435,176-51,307th Bomb Wing,6/3/51,B-29,5,1,,,,Troop Concentrations,,CT 9236,52SCH9236,38.26555N, 127.76545E,,,20,500 GP,Visual,,,Interdiction,18000,,,VT delay arming action,Non-delay,10000,EXETER
"
62",435,175-51,307th Bomb Wing,6/3/51,B-29,5,1,,,,Troop Concentrations,,CT 7436,52SCH7436,38.26321N, 127.55975E,,,20,500 GP,Visual,,,Interdiction,18000,,,VT delay arming action,Non-delay,10000,EXETER
"
63",435,175-51,307th Bomb Wing,6/3/51,B-29,5,1,,,,Troop Concentrations,,CT 5471,52SCH5471,38.57547N, 127.32395E,,,20,500 GP,Visual,,,Interdiction,18000,,2 secondary explosions,VT delay arming action,Non-delay,10000,EXETER
"
64",435,176-51,307th Bomb Wing,6/3/51,B-29,5,1,,,,Troop Concentrations,,CT 5821,52SCH5821,38.12569N, 127.37992E,,,20,500 GP,Visual,,,Interdiction,18000,,4 secondary explosions,VT delay arming action,Non-delay,10000,EXETER
"
65",435,176-51,307th Bomb Wing,6/3/51,B-29,5,1,,,,Troop Concentrations,,CT 3327,52SCH3327,38.17545N, 127.09342E,,,20,500 GP,Visual,,,Interdiction,18000,,,VT delay arming action,Non-delay,10000,EXETER
"
66",435,176-51,307th Bomb Wing,6/3/51,B-29,5,1,,,,Troop Concentrations,,CT 7738,52SCH7738,38.28164N, 127.59368E,,,30,500 GP,Visual,,,Interdiction,18000,,,VT delay arming action,Non-delay,15000,EXETER
"
67",435,176-51,91st Strategic Recon Sq,6/3/51,,,,,,"""BCA-2-6-1. Photographic coverage of mapping lines 58, 51, and 67. 10/10 undercast prevailed in the primary target areas, while only 3/10 to 5/10 undercast existed in secondary target areas.""",Railroad bridge by-pass,,XD 7297,51SXD7297,39.70554N, 125.00633E,,,,,,,,Recon,20000-24000,,Poor results due to existing weather conditions.,,,,EXETER
"
68",435,176-51,91st Strategic Recon Sq,6/3/51,,,,,,BCA-2-6-1,Railroad bridge,,BA 8811,52SBL8811,40.72265N, 126.48985E,,,,,,,,Recon,20000-24000,,Poor results due to existing weather conditions.,,,,EXETER
"
69",436,177-51,98th Bomb Wing,6/4/51,B-29,11,,1,,Sariwon,Marshalling yard,,YC 3966,51SYC3966,38.51032N, 125.74105E,,,0,2000 GP,,,,Interdiction,,,2 dry runs made over target. 1 aircraft had to return to Yokota due to fuel sortage,,,,EXETER
"
70",436,177-51,98th Bomb Wing,6/4/51,B-29,10,1,,,Yonghung,Supply center,,CU 4978,52SCJ4978,39.53840N, 127.24284E,,,8,2000 GP,Radar,,,Interdiction,20000,,,0.1,Non-delay,16000,EXETER
"
71",436,177-51,98th Bomb Wing,6/4/51,B-29,1,1,,,,Jettisoned,,,,,,3731N,12949E,8,2000 GP,,,,,,,,0.1,Non-delay,16000,EXETER
"
72",436,177-51,98th Bomb Wing,6/4/51,B-29,5,1,,,,Troop Concentrations,,BT 8819,52SBH8819,38.09396N, 126.58243E,,,2,500 GP,Radar,,,Interdiction,18000,,Good results,VT delay arming action,Non-delay,1000,EXETER
"
73",436,177-51,98th Bomb Wing,6/4/51,B-29,5,1,,,,Troop Concentrations,,CT 2429,52SCH2429,38.19176N, 126.99024E,,,6,500 GP,Radar,,,Interdiction,18000,,,VT delay arming action,Non-delay,3000,EXETER
"
74",436,177-51,98th Bomb Wing,6/4/51,B-29,5,1,,,,Troop Concentrations,,CT 3330,52SCH3330,38.20248N, 127.09272E,,,10,500 GP,Radar,,,Interdiction,18000,,,VT delay arming action,Non-delay,5000,EXETER
"
76",436,177-51,98th Bomb Wing,6/4/51,B-29,5,1,,,,Troop Concentrations,,DT 1735,52SDH1735,38.25920N, 128.05130E,,,10,500 GP,Radar,,,Interdiction,18000,,,VT delay arming action,Non-delay,5000,EXETER
"
77",436,177-51,98th Bomb Wing,6/4/51,B-29,5,1,,,,Troop Concentrations,,DT 3028,52SDH3028,38.19723N, 128.20057E,,,10,500 GP,Radar,,,Interdiction,18000,,,VT delay arming action,Non-delay,5000,EXETER
"
78",436,177-51,98th Bomb Wing,6/4/51,B-29,5,1,,,,Troop Concentrations,,CT 8426,52SCH8426,38.17445N, 127.67566E,,,10,500 GP,Radar,,,Interdiction,18000,,,VT delay arming action,Non-delay,5000,EXETER
"
79",436,177-51,98th Bomb Wing,6/4/51,B-29,5,1,,,,Troop Concentrations,,CT 8530,52SCH8530,38.21062N, 127.68643E,,,10,500 GP,Radar,,,Interdiction,18000,,,VT delay arming action,Non-delay,5000,EXETER
"
80",436,177-51,98th Bomb Wing,6/4/51,B-29,5,1,,,,Troop Concentrations,,CT 8330,52SCH8330,38.21037N, 127.66359E,,,10,500 GP,Radar,,,Interdiction,18000,,,VT delay arming action,Non-delay,5000,EXETER
"
81",436,177-51,98th Bomb Wing,6/4/51,B-29,5,1,,,,Troop Concentrations,,CT 7341,52SCH7341,38.30812N, 127.54742E,,,10,500 GP,Radar,,,Interdiction,18000,,,VT delay arming action,Non-delay,5000,EXETER
"
82",436,177-51,98th Bomb Wing,6/4/51,B-29,5,1,,,,Troop Concentrations,,CT 3329,52SCH3329,38.19347N, 127.09295E,,,12,500 GP,Radar,,,Interdiction,18000,,,VT delay arming action,Non-delay,6000,EXETER
"
83",436,177-51,98th Bomb Wing,6/4/51,B-29,5,,,,,Troop Concentrations,,DT 1426,52SDH1426,38.17782N, 128.01811E,,,20,500 GP,Radar,,,Interdiction,18000,,,VT delay arming action,Non-delay,10000,EXETER
"
84",436,177-51,98th Bomb Wing,6/4/51,B-29,5,1,,,,Troop Concentrations,,DT 1330,52SDH1330,38.21377N, 128.00620E,,,20,500 GP,Radar,,,Interdiction,18000,,,VT delay arming action,Non-delay,10000,EXETER
"
85",436,177-51,98th Bomb Wing,6/4/51,B-29,5,1,,,,Troop Concentrations,,DT 3121,52SDH3121,38.13422N, 128.21267E,,,20,500 GP,Radar,,,Interdiction,18000,,,VT delay arming action,Non-delay,10000,EXETER
"
86",436,177-51,98th Bomb Wing,6/4/51,B-29,5,1,,,,Troop Concentrations,,CT 2730,52SCH2730,38.20134N, 127.02423E,,,38,500 GP,Radar,,,Interdiction,18000,,Ground controller reported direct hits on the target.,VT delay arming action,Non-delay,19000,EXETER
"
87",437,178-51,19th Bomb Group,6/5/51,B-29,1,1,,,,Jettisoned,,,,,,3628N,12549E,1,2000 GP,,,,,,,,0.01,Non-delay,2000,EXETER
"
88",437,178-51,19th Bomb Group,6/5/51,B-29,1,1,,,,Jettisoned,,,,,,2815N,12515E,1,2000 GP,,,,,,,,0.01,Non-delay,2000,EXETER
"
89",437,178-51,19th Bomb Group,6/5/51,B-29,1,1,,,Hamhung,Supply center,,CV 7418,52SCK7418,39.90272N, 127.52601E,,,8,2000 GP,Radar,,,Interdiction,14000 - 15500,,7/10 to 8/10 cloud coverage prevailed. Unobserved results due to weather conditions.,0.1,Non-delay,16000,EXETER
"
90",437,178-51,98th Bomb Wing,6/5/51,B-29,1,,,,Sariwon,Railroad bridge,,YC 3966,51SYC3966,38.51032N, 125.74105E,,,8,2000 GP,Shoran radar,,050030z,Interdiction,17000 -25000,,,0.1,VD tail fuzing,16000,EXETER
"
91",437,178-51,19th Bomb Group,6/5/51,B-29,11,,1,,Chinnampo,Marshalling yard,,YC 1090,51SYC1090,38.73373N, 125.41599E,,,78,2000 GP,Visual with radar assistance,,,Interdiction,,,Crew believe the bombs fell over and to the right of the yards with some hits in the dock area. Weather precluded other observance.,0.1,Non-delay,156000,EXETER
"
92",437,178-51,19th Bomb Group,6/5/51,B-29,5,1,,,,Troop concentrations,,CT 2634,52SCH2634,38.23718N, 127.01184E,,,8,500 GP,,,,Interdiction,18000,,,VT delay arming action,Non-delay,4000,EXETER
"
93",437,178-51,19th Bomb Group,6/5/51,B-29,5,,,,,Supply dump,,BT 9921,52SBH9921,38.11448N, 126.70721E,,,10,500 GP,,,,Interdiction,18000,,,VT delay arming action,Non-delay,5000,EXETER
"
94",437,178-51,19th Bomb Group,6/5/51,B-29,5,1,,,,Troop concentrations,,CT 8929,52SCH8929,38.20212N, 127.73226E,,,10,500 GP,,,,Interdiction,18000,,,VT delay arming action,Non-delay,5000,EXETER
"
95",437,178-51,19th Bomb Group,6/5/51,B-29,5,1,,,,Troop concentrations,,CT 8930,52SCH8930,38.21113N, 127.73211E,,,10,500 GP,,,,Interdiction,18000,,,VT delay arming action,Non-delay,5000,EXETER
"
96",437,178-51,19th Bomb Group,6/5/51,B-29,5,1,,,,Troop concentrations,,DT 1237,52SDH1237,38.27675N, 127.99391E,,,10,500 GP,,,,Interdiction,18000,,Good results,VT delay arming action,Non-delay,5000,EXETER
"
97",437,178-51,19th Bomb Group,6/5/51,B-29,5,1,,,,Troop concentrations,,CT 3332,52SCH3332,38.22049N, 127.09225E,,,10,500 GP,,,,Interdiction,18000,,Secondary explosions,VT delay arming action,Non-delay,5000,EXETER
"
98",437,178-51,19th Bomb Group,6/5/51,B-29,5,1,,,,Troop concentrations,,BT 9207,52SBH9207,37.98682N, 126.63150E,,,10,500 GP,,,,Interdiction,18000,,,VT delay arming action,Non-delay,5000,EXETER
"
99",437,178-51,19th Bomb Group,6/5/51,B-29,5,1,,,,Troop concentrations,,CT 108,52SCH 108,37.92558N, 126.72447E,,,10,500 GP,,,,Interdiction,18000,,,VT delay arming action,Non-delay,5000,EXETER
"
100",437,178-51,19th Bomb Group,6/5/51,B-29,5,1,,,,Unknown target,,BT 8824,52SBH8824,38.13898N, 126.58095E,,,10,500 GP,,,,Interdiction,18000,,,VT delay arming action,Non-delay,5000,EXETER
"
101",437,178-51,19th Bomb Group,6/5/51,B-29,5,1,,,,Troop concentrations,,DT 1148,52SDH1148,38.37577N, 127.98109E,,,11,500 GP,,,,Interdiction,18000,,Good results,VT delay arming action,Non-delay,5500,EXETER
"
102",437,178-51,19th Bomb Group,6/5/51,B-29,5,1,,,,Troop concentrations,,CT 2331,52SCH2331,38.20957N, 126.97833E,,,11,500 GP,,,,Interdiction,18000,,Secondary explosions,VT delay arming action,Non-delay,5500,EXETER
"
103",437,178-51,19th Bomb Group,6/5/51,B-29,5,1,,,,Troop concentrations,,CT 2431,52SCH2431,38.20977N, 126.98974E,,,11,500 GP,,,,Interdiction,18000,,,VT delay arming action,Non-delay,5500,EXETER
"
104",437,178-51,19th Bomb Group,6/5/51,B-29,5,1,,,,Troop concentrations,,DT 1241,52SDH1241,38.31279N, 127.99341E,,,19,500 GP,,,,Interdiction,18000,,Good results,VT delay arming action,Non-delay,9500,EXETER
"
105",437,178-51,19th Bomb Group,6/5/51,B-29,5,1,,,,Troop concentrations,,CT 9030,52SCH9030,38.21125N, 127.74353E,,,20,500 GP,,,,Interdiction,18000,,Large fires in target area,VT delay arming action,Non-delay,10000,EXETER
"
106",437,178-51,19th Bomb Group,6/5/51,B-29,5,1,,,,Unknown target,,DT 1738,52SDH1738,38.28623N, 128.05095E,,,20,500 GP,,,,Interdiction,18000,,,VT delay arming action,Non-delay,10000,EXETER
"
107",437,178-51,19th Bomb Group,6/5/51,B-29,5,1,,,,Unknown target,,DT 1541,52SDH1541,38.31308N, 128.02772E,,,20,500 GP,,,,Interdiction,18000,,,VT delay arming action,Non-delay,10000,EXETER
"
108",438,179-51,307th Bomb Wing,6/6/51,B-29,1,1,,,,Railroad bridge,,DU 0605,52SDJ0605,38.88885N, 127.91615E,,,8,2000 GP,Visual,,,Interdiction,14000,,Bombs fell 200 ft to the left of the bridge.,0.1,Non-delay,16000,EXETER
