WWI_ID,MSNDATE,OPERATION,COUNTRY,SERVICE,UNIT,MDS,MISSIONNUM,TAKEOFFTIME,NUMBEROFPLANESATTACKING,CALLSIGN,WEAPONSEXPENDED,WEAPONTYPE,WEAPONWEIGHT,BOMBLOAD,LATITUDE,LONGITUDE,TGTLOCATION,TGTCOUNTRY,TGTTYPE,TAKEOFFBASE,TAKEOFFLATITUDE,TAKEOFFLONGITUDE,BDA,ENEMYACTION,ROUTEDETAILS,ISRCOLLECTED,FRIENDLYCASUALTIES,WEATHER,ALTITUDE
11,12/10/1917,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,7,,,,1594,227.7142857,49.2037161,7.6047455,PIRMASENS,GERMANY,RAIL JUNCTION,TANTONVILLE,48.4705028,6.150884,,,,,0,,10000
12,12/23/1917,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,10,,,,2252,225.2,49.488333,8.464722,MANNHEIM,GERMANY,"LANZ CO, RAIL JTN, BASF",TANTONVILLE,48.4705028,6.150884,,,,,0,,10000
13,1/2/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,5,,,,1190,238,49.115461,6.175875,"METZ, MAZIERES, WOIPPY",FRANCE,FURNACES & RAILROADS,OCHEY,48.58129185,5.95351696,,,,,0,,10000
14,1/3/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,8,,,,3020,377.5,49.119666,6.176905,5 SITES W/I 20 NM OF METZ,FRANCE,"RAIL, FACT, FURNACE",OCHEY,48.58129185,5.95351696,,,,,0,,10000
15,1/4/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,6,,,,2260,376.6666667,49.16768,5.848631,CONFLANS & MARS,FRANCE,RAIL JTN & STATION,OCHEY,48.58129185,5.95351696,,,,,0,,10000
16,1/4/1918,,UK,RAF,NO. 216 SQDN,HADLEY PAGE O/100,,NIGHT,1,,,,1344,1344,49.066651,6.308383,COURCELLES,FRANCE,RAIL JUNCTION,VILLESENEUX,48.78108005,4.1631317,,,,,0,,10000
17,1/13/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,12,,,,2752,229.3333333,49.0080848,8.4037563,KARLSRUHE,GERMANY,"MUNITION WORKS, RAILWAYS",TANTONVILLE,48.4705028,6.150884,,,,,0,,10000
18,1/13/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,6,,,,2195,365.8333333,49.356794,6.167606,THIONVILLE,FRANCE,"STEEL WORKS, RAIL JTN",OCHEY,48.58129185,5.95351696,,,,,0,,10000
19,1/15/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,2,,,,560,280,,,ORNY,SWITZERLAND,RAIL SIDINGS & SEARCHLITE,OCHEY,48.58129185,5.95351696,,,,,0,,9999
20,1/20/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,11,,,,3510,319.0909091,49.356794,6.167606,"THIONVILLE, BEMSDORF, FALKNBG",FRANCE,FACTORIES & RAIL TARGETS,OCHEY,48.58129185,5.95351696,,,,,1,,10000
21,1/20/1918,,UK,RAF,NO. 216 SQDN,HADLEY PAGE O/100,,NIGHT,1,,,,1344,1344,49.011487,6.030617,ARNAVILLE,FRANCE,RAILWAY,VILLESENEUX,48.78108005,4.1631317,,,,,0,,10000
22,1/23/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,10,,,,2594,259.4,45.538718,4.675828,"TREVES, THIONVILLE, ETC",FRANCE,"TOWNS, STEEL WORKS",OCHEY,48.58129185,5.95351696,,,,,1,,10000
23,1/23/1918,,UK,RAF,NO. 216 SQDN,HADLEY PAGE O/100,,NIGHT,2,,,,2688,1344,49.488333,8.464722,MANNHEIM,GERMANY,BASF,VILLESENEUX,48.78108005,4.1631317,,,,,0,,10000
24,1/26/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,7,,,,1356,193.7142857,45.538718,4.675828,TREVES,FRANCE,BARRACKS & STATION,TANTONVILLE,48.4705028,6.150884,,,,,0,,10000
25,2/8/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,3,,,,962,320.6666667,49.066651,6.308383,COURCELLES,FRANCE,SIDINGS & STATION,OCHEY,48.58129185,5.95351696,,,,,1,,10000
26,2/11/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,12,,,,2838,236.5,48.45,7.916667,OFFENBURG,GERMANY,BARRACKS & STATION,TANTONVILLE,48.4705028,6.150884,,,,,0,,10000
27,2/15/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,5,,,,1708,341.6,49.1641817,5.872321129,CONFLANS,FRANCE,SIDINGS & STATION,OCHEY,48.58129185,5.95351696,,,,,0,,10000
28,2/15/1918,,UK,RAF,NO. 216 SQDN,HADLEY PAGE O/100,,NIGHT,0,,,,0,0,49.1641817,5.872321129,CONFLANS,FRANCE,RAIL (ABORTED RAID),VILLESENEUX,48.78108005,4.1631317,,,,,0,,10000
29,2/17/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,0,,,,0,,49.488333,8.464722,MANNHEIM,GERMANY,BASF (ABORTED RAID),TANTONVILLE,48.4705028,6.150884,,,,,0,,10000
30,2/17/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,6,,,,2192,365.3333333,49.1641817,5.872321129,CONFLANS,FRANCE,SIDINGS & STATION,OCHEY,48.58129185,5.95351696,,,,,0,,6500
31,2/17/1918,,UK,RAF,NO. 216 SQDN,HADLEY PAGE O/100,,NIGHT,0,,,,0,0,0,0,UNKNOWN,GERMANY,UNKNOWN (ABORTED RAID),,,,,,,,0,,9999
32,2/18/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,9,,,,2176,241.7777778,49.356794,6.167606,THIONVILLE & TREVES,FRANCE,"RAIL SIDINQS, GAS WORKS",TANTONVILLE,48.4705028,6.150884,,,,,0,,10000
33,2/18/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,10,,,,2856,285.6,45.538718,4.675828,TREVES & THIONVILLE,FRANCE,"RAIL, STEEL WRKS, BARRACKS",OCHEY,48.58129185,5.95351696,,,,,1,,10000
34,2/18/1918,,UK,RAF,NO. 216 SQDN,HADLEY PAGE O/100,,NIGHT,0,,,,0,0,0,0,UNKNOWN,GERMANY,UNKNOWN (ABORTED RAID),,,,,,,,0,,9999
35,2/19/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,11,,,,2486,226,45.538718,4.675828,TREVES,FRANCE,BARRACKS & RAIL SIN,TANTONVILLE,48.4705028,6.150884,,,,,1,,10000
36,2/19/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,0,,,,0,,49.233333,7,SAARBUCKEN,GERMANY,UNKNOWN (ABORTED RAID),OCHEY,48.58129185,5.95351696,,,,,0,,6500
37,2/19/1918,,UK,RAF,NO. 216 SQDN,HADLEY PAGE O/100,,NIGHT,2,,,,2912,1456,49.356794,6.167606,THIONVILLE,FRANCE,RAIL STN & STEEL WORKS,VILLESENEUX,48.78108005,4.1631317,,,,,0,,10000
38,2/20/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,8,,,,1900,237.5,49.2037161,7.6047455,PIRMASENS,GERMANY,RAIL STN & FACTORIES,TANTONVILLE,48.4705028,6.150884,,,,,0,,10000
39,2/26/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,9,,,,3144,349.3333333,49.115461,6.175875,FRESCATY,FRANCE,AERODROME,OCHEY,48.58129185,5.95351696,,,,,0,,10000
40,2/26/1918,,UK,RAF,NO. 216 SQDN,HADLEY PAGE O/100,,NIGHT,1,,,,1344,1344,45.538718,4.675828,TREVES,FRANCE,RAIL STN & BARRACKS,VILLESENEUX,48.78108005,4.1631317,,,,,0,,10000
41,3/6/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,1,,,,395,395,49.115461,6.175875,FRESCATY,FRANCE,AERODROME,OCHEY,48.58129185,5.95351696,,,,,0,,10000
42,3/9/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,11,,,,2532,230.1818182,50,8.271111,MAINZ,GERMANY,"FACTORIES, STATION, BKS",TANTONVILLE,48.4705028,6.150884,,,,,0,,10000
43,3/10/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,11,,,,2842,258.3636364,48.766667,9.183333,STUTTGART,GERMANY,"FACTORIES, RAILWAYS. BKS",TANTONVILLE,48.4705028,6.150884,,,,,1,,10000
44,3/12/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,9,,,,2450,272.2222222,50.3566962,7.5996166,COBLENZ,GERMANY,"FACTORIES, STATION BKS",TANTONVILLE,48.4705028,6.150884,,,,,0,,10000
45,3/13/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,8,,,,1984,248,47.9971865,7.8537668,FREIBURQ,GERMANY,"MUNIT DUMP, STATION, BKS",TANTONVILLE,48.4705028,6.150884,,,,,3,,10000
46,3/16/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,7,,,,1878,268.2857143,49.25,7.366667,ZWEIBRUCKEN,GERMANY,RAILWAYS & BARRACKS,TANTONVILLE,48.4705028,6.150884,,,,,0,,10000
47,3/17/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,9,,,,2585,287.2222222,49.4446997,7.7690041,KAISERSLAUTERN,GERMANY,"FACTORIES, STN, SIDINGS",TANTONVILLE,48.4705028,6.150884,,,,,0,,10000
48,3/18/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,9,,,,2346,260.6666667,49.488333,8.464722,MANNHEIM,GERMANY,BASF,TANTONVILLE,48.4705028,6.150884,,,,,0,,10000
49,3/23/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,12,,,,3938,328.1666667,49.115461,6.175875,METZ-SABLON,FRANCE,RAILWAYS,OCHEY,48.58129185,5.95351696,,,,,0,,10000
50,3/23/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,11,,,,3088,280.7272727,49.115461,6.175875,FRESCATY,FRANCE,AERODROME,OCHEY,48.58129185,5.95351696,,,,,0,,10000
51,3/23/1918,,UK,RAF,NO. 216 SQDN,HADLEY PAGE O/100,,NIGHT,1,,,,1120,1120,49.7,6.583333,CONZ,GERMANY,"SIDINGS, STN, BRIDGES",VILLESENEUX,48.78108005,4.1631317,,,,,0,,10000
52,3/24/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,12,,,,3083,256.9166667,49.481111,8.435278,LUDWIGSHAFEN,GERMANY,BASF,TANTONVILLE,48.4705028,6.150884,,,,,2,,10000
53,3/24/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,14,,,,4773,340.9285714,49.115461,6.175875,METZ & THIONVILLE,FRANCE,METZ-LUXEMBOURG RAILWAY,OCHEY,48.58129185,5.95351696,,,,,0,,10000
54,3/24/1918,,UK,RAF,NO. 216 SQDN,HADLEY PAGE O/100,,NIGHT,3,,,,3584,1194.666667,50.9406645,6.9599115,"COLOGNE, LUX, COURCELLES",GERMANY,"FACTORY, RAILWAY, STATION",,,,,,,,0,,10000
55,3/27/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,11,,,,2482,225.6363636,49.115461,6.175875,METZ,FRANCE,RAIL JTN & SIDINGS,TANTONVILLE,48.4705028,6.150884,,,,,0,,10000
56,3/28/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,12,,,,2706,225.5,49.75,6.16666,LUXEMBOURG,LUXEMBOURG,RAILWAY STATION,TANTONVILLE,48.4705028,6.150884,,,,,0,,10000
57,4/5/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,11,,,,2464,224,49.75,6.16666,LUXEMBOURG,LUXEMBOURG,RAILWAYS & STATION,TANTONVILLE,48.4705028,6.150884,,,,,1,,10000
58,4/11/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,11,,,,2464,224,49.75,6.16666,LUXEMBOURG,LUXEMBOURG,RAILWAYS & STATION,TANTONVILLE,48.4705028,6.150884,,,,,0,,10000
59,4/12/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,11,,,,2464,224,49.115461,6.175875,METZ-SABLON,FRANCE,RAILWAY SIDINGS & STATION,TANTONVILLE,48.4705028,6.150884,,,,,0,,10000
60,4/12/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,6,,,,1344,224,49.3968459,4.38328,JUNIVILLE,GERMANY,RAILWAY SIDINGS & STATION,VILLESENEUX,48.78108005,4.1631317,,,,,0,,6500
61,4/12/1918,,UK,RAF,NO. 216 SQDN,HADLEY PAGE O/100,,NIGHT,3,,,,4032,1344,49.517159,4.503726,"AMAGNE-LUCQUY, JUNIVILLE",FRANCE,"JTN, SIDINGS, STATION",VILLESENEUX,48.78108005,4.1631317,,,,,0,,10000
62,4/19/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,6,,,,1568,261.3333333,49.3968459,4.38328,JUNIVILLE,GERMANY,"JUNCTION, STATION",VILLESENEUX,48.78108005,4.1631317,,,,,0,,10000
63,4/19/1918,,UK,RAF,NO. 216 SQDN,HADLEY PAGE O/100,,NIGHT,3,,,,4704,1568,49.3968459,4.38328,JUNIVILLE & BETHENVILLE,GERMANY,"JUNCTION, STN, SIDINGS",VILLESENEUX,48.78108005,4.1631317,,,,,0,,10000
64,4/20/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,7,,,,2128,304,49.816994,2.800635,"CHAULNES. ROYE, HAM",FRANCE,RAIL STATIONS & JUNCTIONS,VILLESENEUX,48.78108005,4.1631317,,,,,0,,6500
65,4/20/1918,,UK,RAF,NO. 216 SQDN,HADLEY PAGE O/100,,NIGHT,2,,,,3136,1568,49.816994,2.800635,CHAULNES,FRANCE,RAIL STATION & SIDINGS,VILLESENEUX,48.78108005,4.1631317,,,,,0,,10000
66,4/21/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,9,,,,2688,298.6666667,49.517159,4.503726,"AMAGNE-LUCQUY, JUNIVILLE",FRANCE,,VILLESENEUX,48.78108005,4.1631317,,,,,0,,10000
67,5/2/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,11,,,,2476,225.0909091,49.356794,6.167606,THIONVILLE,FRANCE,RAILWAYS & STATION,TANTONVILLE,48.4705028,6.150884,,,,,0,,10000
68,5/2/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,9,,,,2016,224,49.517159,4.503726,"AMAGNE-LUCQUY, JUNIVILLE",FRANCE,,VILLESENEUX,48.78108005,4.1631317,,,,,0,,10000
69,5/3/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,12,,,,2688,224,49.356794,6.167606,THIONVILLE,FRANCE,"CARLSHUTTE WRKS, RAIL, BLDG",TANTONVILLE,48.4705028,6.150884,,,,,0,,10000
70,5/3/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,9,,,,2016,224,49.3968459,4.38328,"JUNIVILLE, ASFELD, AMAGNE",GERMANY,RAIL LINES & SIDINGS,VILLESENEUX,48.78108005,4.1631317,,,,,0,,6500
71,5/15/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,12,,,,2688,224,49.356794,6.167606,THIONVILLE,FRANCE,JUNCTION & RLWY TRIANGLE,TANTONVILLE,48.4705028,6.150884,,,,,0,,6500
72,5/16/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,12,,,,2688,224,49.233333,7,SAARBRUCKEN,GERMANY,RAIL STATION & SIDINGS,TANTONVILLE,48.4705028,6.150884,,,,,1,,6500
73,5/17/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,12,,,,2688,224,49.115461,6.175875,METZ,FRANCE,RAIL STATION & SIDINGS,TANTONVILLE,48.4705028,6.150884,,,,,0,,6500
74,5/17/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,10,,,,2240,224,49.115461,6.175875,"METZ, METZ-SABLON, THIONVILLE",FRANCE,RAIL STATIONS & WORKS,OCHEY,48.58129185,5.95351696,,,,,1,,6500
75,5/17/1918,,UK,RAF,NO. 216 SQDN,HADLEY PAGE O/100,,NIGHT,1,,,,1344,1344,49.356794,6.167606,THIONVILLE,FRANCE,RAIL STATION,OCHEY,48.58129185,5.95351696,,,,,0,,10000
76,5/18/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,5,,,,1392,278.4,50.9406645,6.9599115,COLOGNE,GERMANY,RAIL STATION & SIDINGS,TANTONVILLE,48.4705028,6.150884,,,,,0,,6500
77,5/20/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,10,,,,2258,225.8,49.193507,8.11288,LANDAU,GERMANY,RAIL STATION & BARRACKS,TANTONVILLE,48.4705028,6.150884,,,,,0,,6500
78,5/20/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,11,,,,2464,224,49.356794,6.167606,"THIONVILLE, METZ-SABLON",FRANCE,RAIL STATIONS,OCHEY,48.58129185,5.95351696,,,,,0,,6500
79,5/20/1918,,UK,RAF,NO. 216 SQDN,HADLEY PAGE O/100,,NIGHT,6,,,,7392,1232,49.356794,6.167606,"THIONVILLE, METZ-SABLON, COBLENZ",FRANCE,RAIL STATIONS S BARRACKS,OCHEY,48.58129185,5.95351696,,,,,0,,10000
80,5/21/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,11,,,,2464,224,50.4124306,4.4437222,"CHARLEROI, NAMUR, METZ-SABLON",BELGIUM,RAILWAYS,TANTONVILLE,48.4705028,6.150884,,,,,1,,6500
81,5/21/1918,,UK,RAF,NO. 99 SQDN,AIRCO DH9 DAY BOMBER,,DAY,6,,,,1344,224,49.115461,6.175875,METZ-SABLON,FRANCE,RAIL STATION & SIDINGS,TANTONVILLE,48.4705028,6.150884,,,,,0,,10000
82,5/21/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,15,,,,3248,216.5333333,49.233333,7,SAARBRUCKEN. THIONVILLE,GERMANY,RAIL STATION & SIDINGS,OCHEY,48.58129185,5.95351696,,,,,0,,6500
83,5/21/1918,,UK,RAF,NO. 216 SQDN,HADLEY PAGE O/100,,NIGHT,7,,,,9084,1297.714286,49.356794,6.167606,"THIONVILLE, KARTHAUS",FRANCE,RAIL STATIONS & CHEMICAL,OCHEY,48.58129185,5.95351696,,,,,1,,10000
84,5/22/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,11,,,,2464,224,50.63042,5.60302,KINKEMPOIS,BELGIUM,RAIL STATION,TANTONVILLE,48.4705028,6.150884,,,,,0,,6500
85,5/22/1918,,UK,RAF,NO. 99 SQDN,AIRCO DH9 DAY BOMBER,,DAY,6,,,,1344,224,49.115461,6.175875,METZ-SABLON,FRANCE,RAILWAY TRIANGLE,TANTONVILLE,48.4705028,6.150884,,,,,0,,10000
86,5/22/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,12,,,,3408,284,49.204987,6.6962469,"KREUZWALD, SPITTEL",GERMANY,"ELECTRICAL STATION, RAIL",OCHEY,48.58129185,5.95351696,,,,,0,,6500
87,5/22/1918,,UK,RAF,NO. 216 SQDN,HADLEY PAGE O/100,,NIGHT,5,,,,6496,1299.2,49.204987,6.6962469,"KREUZWALD, MANNHEIM ",GERMANY,"ELECT STN, BASF",OCHEY,48.58129185,5.95351696,,,,,0,,10000
88,5/23/1918,,UK,RAF,NO. 99 SQDN,AIRCO DH9 DAY BOMBER,,DAY,11,,,,2464,224,49.115461,6.175875,METZ-SABLON,FRANCE,RAIL STN & TRIANGLE,TANTONVILLE,48.4705028,6.150884,,,,,0,,10000
89,5/24/1918,,UK,RAF,NO. 99 SQDN,AIRCO DH9 DAY BOMBER,,DAY,8,,,,1792,224,51.9691868,5.6653948,HAGENDINGEN,GERMANY,THYSSEN BLAST FURNACES,TANTONVILLE,48.4705028,6.150884,,,,,0,,10000
90,5/27/1918,,UK,RAF,NO. 99 SQDN,AIRCO DH9 DAY BOMBER,,DAY,10,,,,2128,212.8,48.905388,6.759462,BENSDORF,FRANCE,RAIL STATION & SIDINGS,TANTONVILLE,48.4705028,6.150884,,,,,1,,6500
91,5/27/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,12,,,,3424,285.3333333,49.204987,6.6962469,KREUZWALD. METZ-SABLON,GERMANY,ELECT PWR STN; RAIL,OCHEY,48.58129185,5.95351696,,,,,1,,6500
92,5/27/1918,,UK,RAF,NO. 216 SQDN,HADLEY PAGE O/100,,NIGHT,5,,,,6720,1344,49.488333,8.464722,"MANNHEIM, KREUZ, LANDAU, COURCELLES",GERMANY,"BASF, PWR STN, RAIL",OCHEY,48.58129185,5.95351696,,,,,0,,10000
93,5/28/1918,,UK,RAF,NO. 99 SQDN,AIRCO DH9 DAY BOMBER,,DAY,10,,,,2240,224,48.905388,6.759462,BENSDORF,FRANCE,,TANTONVILLE,48.4705028,6.150884,,,,,0,,6500
94,5/28/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,3,,,,864,288,49.115461,6.175875,METZ-SABLONS,FRANCE,RAIL STN,OCHEY,48.58129185,5.95351696,,,,,1,,6500
95,5/29/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,11,,,,2464,224,49.356794,6.167606,THIONVILLE,FRANCE,RAILWAYS,TANTONVILLE,48.4705028,6.150884,,,,,0,,6500
96,5/29/1918,,UK,RAF,NO. 99 SQDN,AIRCO DH9 DAY BOMBER,,DAY,6,,,,1344,224,49.115461,6.175875,METZ-SABLON,FRANCE,RAILWAY TRIANGLE,TANTONVILLE,48.4705028,6.150884,,,,,0,,6500
97,5/30/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,12,,,,2688,224,49.356794,6.167606,THIONVILLE,FRANCE,RAILWAYS,TANTONVILLE,48.4705028,6.150884,,,,,0,,10000
98,5/30/1918,,UK,RAF,NO. 99 SQDN,AIRCO DH9 DAY BOMBER,,DAY,4,,,,896,224,49.115461,6.175875,METZ-SABLON,FRANCE,RAILWAYS,TANTONVILLE,48.4705028,6.150884,,,,,0,,6500
99,5/30/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,6,,,,1728,288,49.115461,6.175875,METZ-SABLON,FRANCE,RAIL STATION,OCHEY,48.58129185,5.95351696,,,,,0,,6500
100,5/30/1918,,UK,RAF,NO. 216 SQDN,HADLEY PAGE O/100,,NIGHT,7,,,,8552,1221.714286,,,,,RAIL STATIONS & SIDINGS,OCHEY,48.58129185,5.95351696,,,,,0,,9999
101,5/31/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,11,,,,2464,224,49.0080848,8.4037563,KARLSRUHE,GERMANY,RAIL STATION & WORKSHOPS,TANTONVILLE,48.4705028,6.150884,,,,,1,,10000
102,5/31/1918,,UK,RAF,NO. 99 SQDN,AIRCO DH9 DAY BOMBER,,DAY,11,,,,2240,203.6363636,49.115461,6.175875,METZ-SABLON,FRANCE,RAILWAY TRIANGLE,TANTONVILLE,48.4705028,6.150884,,,,,0,,6500
103,5/31/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,15,,,,3296,219.7333333,49.356794,6.167606,THIONVILLE & METZ,FRANCE,RAIL STATION & JUNCTION,OCHEY,48.58129185,5.95351696,,,,,0,,6500
104,5/31/1918,,UK,RAF,NO. 216 SQDN,HADLEY PAGE O/100,,NIGHT,4,,,,5600,1400,49.7022517,6.58261299,,,RAIL STATION & TRIANGLE,OCHEY,48.58129185,5.95351696,,,,,0,,10000
105,6/1/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,11,,,,2240,203.6363636,49.7022517,6.58261299,KARTHAUS,ITALY,RAILWAY STN,TANTONVILLE,48.4705028,6.150884,,,,,1,,10000
